sasdate,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,acc3,acc6,acc12
2004-03-01,23254172411612.145,-35156034881936.473,-11532855229640.014,-44318561037425.28,-324238620831586.6,-266990888742486.97,82444041856038.06,-4941010234419.889,-76080096777863.88,115386088485627.98,-75432425855106.05,-155192244727156.6,4.7849168875201206e+39,-3.049362374831794e+82,1.149284882999795e+168
2004-04-01,-21400481095612.754,106988758280165.23,-117150133078397.06,28325582227633.51,176535639614083.06,44784278785318.82,6450559228046.807,-62807357416608.375,196630769819488.66,134523889904263.48,-57660686568112.94,200492042982262.3,-1.8451576639331613e+41,-4.412519524875897e+84,1.2721648658749033e+165
2004-05-01,-42225786315552.016,-31310538474713.746,-72600060925244.44,-43936764406239.55,-4482620366313.054,-142482143529425.3,17757316006547.773,26977349437629.71,17321198426408.902,48556245723915.36,-36727420919303.28,17078317061526.428,-1.806242348396383e+41,7.278262310040285e+82,-2.247473946732214e+166
2004-06-01,75579628235681.38,30120559827123.9,-84550227551122.1,13409316427315.258,210132982451635.06,50379747500138.09,49481939120634.02,18997890157775.516,-214328639801735.4,-245771271297028.22,86381607279749.34,-85620873157416.14,-5.665377508034177e+40,-3.0608439634779856e+79,-7.103355545608123e+165
2004-07-01,-167463291510541.22,123141831786278.44,9988333550271.701,-17943606973076.91,26648916893169.18,-32422170051113.06,26577593041629.285,-44052822041455.92,192325998278948.84,123706504407889.77,-125428760852213.73,-41837590632759.375,-1.2703805088465647e+40,-5.523290130659419e+82,9.28875975769003e+166
2004-08-01,168194471418061.8,-300266653494146.2,-144085500903894.2,3792654217831.1084,126932112073907.6,8747733222219.105,44116827930231.85,-33221691361064.07,-255604534321220.1,116264483468087.89,-26596073788495.086,-43053879049185.17,-1.3410057548983292e+42,-5.646219426970594e+80,3.180126787474544e+164
2004-09-01,-45803663643907.36,472309510794241.5,97481760242756.69,7802196651732.122,79345034351925.3,-53443435208958.13,43784739351441.1,-60695265495891.58,47003363115677.42,24522677820272.254,-39618357301542.83,290243443453729.44,4.90173794576036e+42,-6.896114669726631e+81,-1.0860713865572768e+165
2004-10-01,61061856191410.2,-436412037709066.9,-62860619697109.2,-29203073159821.12,3175980363724.705,26519513315017.14,25420634454081.29,-34635621357706.883,-162811679507019.38,29810133968326.3,-56623798905800.875,-233098058001081.28,-4.9936381062194446e+42,-1.0138235453999604e+80,-3.0738984602126887e+167
2004-11-01,42274718755387.88,491875374128073.6,-201558805525683.2,77812058313284.17,224745420385579.44,-17639757692997.72,6716673574370.66,-28697379499647.336,-53066757769247.984,-52968349101397.8,-36023207463897.8,39624382100380.94,-4.029013421894887e+42,5.861624014556796e+80,-2.2312390439984453e+165
2004-12-01,-251478477836832.28,-130980194129765.16,132307218298662.48,-68925755839094.3,-218239830728252.03,-97023198192044.25,83528680053650.34,-24965638441479.742,-100835210866569.67,-1641703780546.709,-59772933445406.336,-197563631175669.47,3.9738239307349125e+42,3.121368786391866e+84,2.6950127047211997e+161
2005-01-01,189187005789554.72,-194812476326235.94,-382732173124799.75,113545815828243.98,251135840581515.9,201866775733354.62,-89511822452915.19,-46031117346452.57,22027019345841.246,10856704806171.705,-64334621218106.984,-23874968439169.9,2.119245785150794e+42,1.7118386652388958e+85,1.8201463969817806e+165
2005-02-01,-1549496894337.6887,494874420339216.25,301219326433219.0,-94229458311456.69,-264018015965051.12,-356199445913534.94,136800480437960.9,19025972167277.516,-156062878308045.22,-5880045978990.538,-37357710091789.83,-99943649291124.16,1.4757079701148172e+43,-2.4841750065322346e+85,4.79645978725502e+161
2005-03-01,-14707243532587.105,-485254303367288.75,-170835435588860.72,13575124870158.662,277743190791463.7,245147727598074.7,-24194884252489.33,-67964491411664.67,82803537919502.8,-48484102263673.99,-30363683047656.266,-24944286248942.285,-1.599426433308227e+43,-2.9203922743103703e+85,-5.132094804271349e+162
2005-04-01,-205889769609.73328,460418720573256.0,-252471586884820.47,35770857881444.836,177312262016192.3,-207127436608053.38,34610398045891.137,12077464397483.334,-11303950535505.572,117407865114132.33,-97880926015732.86,-77234175655622.3,-1.8983339527553126e+41,1.1488122913779342e+85,-5.163684659110199e+159
2005-05-01,60448081536726.58,-172443984795776.53,242094670456174.22,-49415298314547.87,-93524374353209.48,29168464078794.836,120357352814094.28,-23840289463524.93,-302174008805103.4,-173832900828537.22,70111237105794.805,-45980859750657.195,-1.6393417006756845e+42,1.0360878654745735e+84,-7.675014793761613e+163
2005-06-01,-229530022618113.0,187630055994789.28,-331759097991145.4,120405274685793.77,184838831065692.94,241068673463812.88,-155537306805203.06,-88378165074961.31,296905382403026.25,178921766804673.25,-168532822699239.47,67119764312411.51,-1.1778925069722297e+40,1.2899094210944877e+85,-2.431960276877409e+167
2005-07-01,72577125607639.66,-272057337479453.38,-21335419496818.22,-115816539201566.62,-233690705711881.8,-466934219563382.94,208353368184172.94,34736568064182.25,-515871119213723.25,4912724768007.957,20318937682240.02,-213102276375222.22,-2.4198370204443857e+41,-8.096232155987915e+83,-1.1232264843339815e+169
2005-08-01,184675833346506.3,268683939539715.66,105782450462131.94,73702109935009.89,366543969767854.5,280263631368435.44,-27731261183640.98,-117477204489090.53,382743556161981.6,-61881255970552.94,-65226837207755.555,259540138306116.03,6.60561969146594e+42,1.292775711704916e+85,-2.0696996064184215e+168
2005-09-01,-62083415168131.7,-51267583366968.75,9137316733000.451,-68529666863441.54,-153609855754638.72,-132355540083834.4,-17603624505161.316,40597811401296.016,-195975153904631.78,164475887892751.22,-121821755983610.88,-410414095232752.25,1.781804908495948e+41,-6.618269470722673e+82,9.409106880230622e+167
2005-10-01,-18085739683541.477,59744889676835.445,-334100298910725.56,40095858016426.516,377891824559580.0,-31391527032342.258,121381705789399.38,-18543070953236.48,-351161332578022.9,-332717312722720.56,126197661267104.03,136498194529012.7,3.163222768193574e+42,-8.599982376220012e+82,6.48662479607589e+169
2005-11-01,-85621408500069.39,199399058550450.84,93186377254143.31,13564482041669.764,-79991059096056.17,2425183120446.3213,8406377243524.182,-103716271498291.2,434494118036006.1,259693116523947.62,-237369000698650.25,-123124315804139.89,-3.4564381578973186e+41,-4.14862538131177e+83,5.475494339247069e+168
2005-12-01,-9431252404649.277,-228836424304640.53,-120520804410548.8,58451403995599.63,-84641439348943.45,172010837991097.0,-61632072649920.62,4964304462285.215,-493337187926374.1,31821300255887.535,37421884179761.21,-136968997676902.05,4.3463170218198795e+41,-9.830077029336992e+82,-6.693234433803963e+170
2006-01-01,28431499841115.105,164152645697463.4,-92149760420535.64,-36361537365355.266,-43778246223198.28,-286425567837028.25,82121980927088.1,-24067849446395.156,81308245673438.94,-158628097387735.34,-17146042492501.188,301164326224160.1,-1.8055176211807425e+42,1.0402262660566157e+84,-9.36809961098308e+167
2006-02-01,72009372432203.67,-94617882745510.73,91549306335659.44,-45981301463881.016,186951354379379.28,-31194658338842.258,88812094897010.56,-54342236434309.06,59393003200787.234,149215483836057.84,-121942940524345.92,-472571427702744.6,-1.417334349982653e+41,-2.759067535870654e+82,4.727593417032296e+167
2006-03-01,-56349141309428.305,127866631370942.98,-145433640944700.94,51832012829128.81,256825376091483.8,121378409962310.72,-62080715289116.28,-12187396723446.246,14034591630090.7,-22315308173304.91,-30990713708338.703,186599464294020.66,3.912351559309149e+41,-3.5861933212053097e+83,-1.4836641519913322e+168
2006-04-01,145140391525277.34,-61418278064799.27,-41444950543901.98,-22762316499613.57,-37510785315802.836,-125748949411594.52,93756254832672.66,18213036885869.03,-373650964309838.5,-193147033406555.7,54021044051688.01,-190963314021212.03,-3.8160835587655595e+41,-2.681175788159813e+84,-2.57688388103034e+164
2006-05-01,17792778800079.727,347729385373521.75,-39638081698497.125,60382231546552.29,114156988548674.92,117328434446691.84,-6360443991564.274,-105565863719999.47,221001551330022.22,126734041086071.75,-128009117697472.17,28515578388294.527,-1.3718213799671353e+41,3.2331795214677804e+82,1.2564106592917017e+165
2006-06-01,-263375665970311.34,-59315116318381.23,-189654152937954.72,-15025021329626.906,-130410419974016.64,-98095304979095.03,4897503239231.894,-24743356174238.246,-139629714277624.92,214081420305460.72,-101995367924324.95,-91415698722857.14,-9.571765280544348e+42,9.97252321855847e+82,-1.3915645454374877e+166
2006-07-01,-23790051062474.55,-75341380968873.17,-281961500761484.75,39408904513695.484,141927489420677.1,-38393118170077.31,47744836630932.164,-12745934611897.857,-144897144198312.66,-182506218419667.47,52006100257910.79,161714872616791.47,2.975767384964328e+41,-1.1536995254128103e+83,-8.794287937497158e+167
2006-08-01,-17223787618612.357,109903083492545.45,216195589963864.0,-33198643209383.676,-109644439814766.7,-41800753261668.25,21328343993931.55,-29869436424402.25,150329364279310.9,28353857799502.887,-125580536631510.52,-239285192241214.22,4.2899877683142676e+42,-1.222822138512243e+82,-1.836732128773297e+166
2006-09-01,170347461415709.97,-317342462153929.25,-39531574474458.55,-28788585985777.53,145928179291683.44,39543903394026.74,4886191910382.43,402860315066.6929,-209269537700128.03,-37512358602778.8,-8024576680985.547,-158769527584029.16,1.0335925336424646e+41,1.6355075463323695e+84,1.8034431495486455e+168
2006-10-01,49159543992038.75,375233023515763.75,-31845997780460.95,-49062619901411.86,304187121095356.06,-232050992790907.25,134595027423485.44,-26146348771189.64,25768173052956.418,-36598900133443.164,-38395289183877.83,103932875996470.8,-1.7406510209230018e+41,3.34535267745581e+83,-1.4458338484424738e+165
2006-11-01,-128075258244662.77,-129992394925855.92,26253103054382.664,-4452634986029.685,222996133545615.3,129759026850073.92,51761196245399.305,-68501142662981.74,-43204859840290.24,89716092692877.1,-64033742634352.266,-145447457410146.75,1.6780981633398408e+42,-4.87477741575162e+84,6.35592123161441e+163
2006-12-01,-50766079127057.81,45144403041111.31,-243952458586653.75,137194821411482.36,68922759801794.59,184927403931774.06,-90641242445172.22,-54431853350271.89,-158911145252850.25,38856987600266.945,-40357349336913.375,114047356781382.11,1.558945706032925e+42,-2.0912150938124367e+83,7.954752206770375e+165
2007-01-01,36087174112071.73,4562042841319.845,169848696476796.0,-19905106969152.35,-373343391555938.06,-205710122804898.56,96605090464581.16,-29952533486493.164,-308799973773104.9,-69430483673362.08,-16276812630543.092,-104323682680937.77,-9.820449642467535e+41,-1.098872047363089e+82,-9.648590210441363e+162
2007-02-01,86975508442107.14,-95671354525872.06,-46329787299730.68,35478330784531.98,109696024730475.1,81329665874987.03,-45009879889336.26,-91459641211973.47,278800482907568.34,125944631679267.5,-142657307041395.84,-22269205436567.562,1.0729841040166315e+40,-6.990569169416538e+84,-9.506500565752266e+161
2007-03-01,-40793508597816.44,148574601927013.97,-50541287275927.11,-39507388230128.57,61556547783371.734,-237424971610657.06,52293193179711.086,44368474229887.984,-117658641779171.27,20003517586527.742,-53495417985253.266,-183840351617017.75,1.7449424051443567e+41,8.081887302573114e+83,-4.363337387922076e+168
2007-04-01,85304753361970.66,-88931380224275.45,-31039762834499.555,24808906618641.72,209289971499850.2,71038238424865.06,52502848788376.9,10888123213932.826,-83659396771285.75,-307346923104950.5,71610673702544.77,-42976440777479.805,-4.01106727195548e+41,-1.5235650121168805e+83,8.427587720154804e+166
2007-05-01,-133839003273511.06,255210848582804.28,-59575325576732.3,66071733786888.445,3609922609064.925,75354423301255.3,-55111548749503.71,-26892395022205.766,160019485040252.78,107926268267525.17,-129252621496154.52,-225514120969830.6,-2.1612873777732113e+41,-6.685421250401504e+81,1.191970747655597e+168
2007-06-01,-82214267739993.53,-287312517232639.56,-103276155356368.97,-8897542374826.566,-141139164233667.12,-108300964599594.22,60488753902447.57,-6825883511370.116,-296409604271966.94,47442981268156.234,13152987728998.361,15541102419446.174,-2.248394039847432e+42,-1.692462042919946e+81,-1.342153205282121e+167
2007-07-01,127100028030350.34,129229027008006.05,-37571629342131.414,46063176895840.62,117297933745472.45,-10187739923100.936,6565898626094.378,-88196996098961.72,246203293567626.47,103958184510140.92,-87038257603935.45,261938528097183.53,-1.4447651926107972e+42,-3.810667360150356e+82,-6.82645389897302e+164
2007-08-01,-56334887956947.45,410547042410.7858,185930205277365.62,-58833442034775.3,-77997039746838.73,-87804645296131.53,31561652082330.87,-525219814642.38477,-116834427939996.6,64911553813001.94,-48670091527618.22,-185704473481483.78,-1.975409855751346e+42,-1.980571096463971e+82,-4.884140183851159e+167
2007-09-01,-78892917254863.3,-180081906046166.16,-221059068163797.44,33076184081599.418,295814408668272.8,35508817689439.48,2757012946952.8984,6111289303902.032,-58762979876004.875,-202733738479624.3,45094873436434.516,106623659515609.55,-1.1534981680946845e+40,2.868406148619714e+83,-1.8247015716767542e+167
2007-10-01,89030959269273.9,87746084129912.39,97894074360391.75,-4726219180448.954,37235909161809.68,-125041790257340.6,71942616711205.0,-25935037190554.49,36639326035243.31,55019241524225.86,-87679578209609.38,-216042410982152.03,9.931250076323218e+41,-3.1440977110976374e+84,8.923691134389668e+165
2007-11-01,63753554444294.45,-47227513727633.93,178403627134919.94,45794048130300.92,10153961869886.096,198889015291641.25,-41588095091158.21,-54293460057836.3,-72272794214746.89,72079436411437.3,-28508222254261.195,19618033969216.09,-1.2350070575614768e+42,-4.838885839499313e+83,-1.4531418441030535e+165
2007-12-01,-14296300663273.807,3423078524401.5376,-138941642928608.23,26061451927366.465,-36262355939013.77,-100877642208307.47,-21781509531240.598,-10694016481892.451,-52747868302861.73,29282166420804.836,-49289028143701.99,104102571626283.66,5.8420943368796515e+41,-5.584203271405645e+79,5.6002087588902986e+160
2008-01-01,-65561694115324.42,62866170732591.09,1272910361356.6968,1978321498483.194,38844517703523.516,-145783157278358.8,98581594540830.28,-22867168428086.324,-72177256830207.83,-18863075666535.113,-15979724146732.576,-82894505367345.95,2.7779158542366494e+38,2.4042317178257908e+83,-7.931009493371184e+163
2008-02-01,35328114090414.414,-94097052876581.86,17175869124873.127,76921499149300.27,3598525092189.511,179594783412722.22,-97610026925104.44,-35718962658018.92,242479267386428.78,70890519562845.36,-103130216698671.72,5409324372775.276,-1.5436875554697593e+40,-2.2453885212564187e+83,2.5906364439070667e+161
2008-03-01,-130159721059741.34,77098080377728.98,3718429093674.3364,22545599757767.543,-174758681123010.38,-88958577151239.53,-17644044523924.582,66090326839781.52,-290657012917028.25,-99944607290932.67,33975563425246.227,-168233514251289.53,2.2939592200079374e+40,-3.699796177840285e+80,-1.9341504886339223e+166
2008-04-01,-17893024864735.484,-306224213348913.3,-3925430553713.5073,-16026734661248.852,20327337887591.145,-127146408064870.17,63919451274395.29,-19179989512397.92,166282353579204.16,-78143558135960.73,-26267011746640.27,77399671754990.53,-1.069181209743415e+40,4.74798874016536e+80,1.8814827017211705e+166
2008-05-01,14631285523917.127,47134905693647.055,116805510819286.94,37868411467696.73,148384510689243.06,22033817779679.41,-30618050970428.746,-23762381243158.92,222311718826120.72,233448779920318.03,-124875633038246.45,-136942254588229.92,4.6556408472918564e+42,-1.5588037994166228e+80,2.1010087466578492e+166
2008-06-01,168586559916834.5,-278841840060184.78,212790721174092.88,-10007028051421.146,-46033191704168.9,-16291936269785.658,1314992230261.12,42310721557585.91,-198699068210956.16,-93098520393735.11,71210822168701.67,165530046855588.22,-1.794647235889781e+41,8.887753712275899e+80,-9.231758266727128e+163
2008-07-01,-97122133055946.81,179230607115256.1,34752118437803.703,60558388973156.69,165122012358742.75,22247474009746.44,-10687953976568.57,-16710067267970.38,80908241369477.53,-61432626167481.3,-23807947977557.66,20263083140618.082,-1.4178219941668839e+41,4.146485975557226e+80,-8.687562704815027e+166
2008-08-01,-44119219001299.94,-345942315751599.75,66795706419242.05,10204186599891.572,-77205083852580.22,-84415143242156.06,23837804925299.527,-17831618233931.367,64571974162996.33,192280416211793.03,-98196148829292.84,-90452689118638.64,2.0182904809381578e+42,6.493964671146277e+83,3.3867769200546303e+165
2008-09-01,56310950574264.5,86204845319153.77,91224789931301.62,130848872845380.55,14050171967265.824,155061307535635.7,-91477573940970.28,-12227691830916.791,-10221775998235.96,18455964205265.688,-5566021092279.248,174829587370338.28,3.065030300918605e+42,1.3010762471570995e+83,-1.1776197933706883e+164
2008-10-01,-108098623419389.6,-203995625257972.22,274726898659064.8,-2204826251117.173,-384346937845564.8,-117654798349582.25,-37649014793794.164,27490164902866.9,21901724471812.19,-14839858115908.783,-30852523960020.13,-11355622180968.703,-1.044866189920694e+42,2.3916156385112235e+81,-6.048131859344861e+161
2008-11-01,117213110379852.44,-287328886769612.25,-27740747873069.27,75042826398324.4,103509616991243.6,-3763727560339.675,-42800300916105.32,19574907431779.246,99735439723317.12,-26789275402276.707,-23650709083041.72,-89390771027007.67,3.1866317418518916e+41,3.820280593895119e+83,1.1257890642162336e+160
2008-12-01,90757938438821.62,156500089592329.72,367700903611995.9,12080327662518.682,-108827601270877.84,-156434055017111.0,-719292182482.3564,55691333720157.34,262364701398718.47,69250223960772.195,-59570429562018.53,40550104056682.1,1.1420737532179686e+43,1.0942615719357155e+83,-2.4641639019444186e+160
